folder,filename,layer,group,score,kill_chain
malicious,adaptix_c2,dst-ioc,dst.c2,90,command-and-control
malicious,alchimist_c2,dst-ioc,dst.c2,90,command-and-control
malicious,anarchy_c2,dst-ioc,dst.c2,90,command-and-control
malicious,brc4,dst-ioc,dst.c2,90,command-and-control
malicious,c2_panel,dst-ioc,dst.c2,90,command-and-control
malicious,caldera_c2,dst-ioc,dst.c2,90,command-and-control
malicious,cloakndagger_c2,dst-ioc,dst.c2,90,command-and-control
malicious,coreimpact,dst-ioc,dst.c2,90,command-and-control
malicious,covenant,dst-ioc,dst.c2,90,command-and-control
malicious,cyberstrikeai,dst-ioc,dst.c2,90,command-and-control
malicious,deimos_c2,dst-ioc,dst.c2,90,command-and-control
malicious,elf_reversessh,dst-ioc,dst.c2,90,command-and-control
malicious,ghostshell_c2,dst-ioc,dst.c2,90,command-and-control
malicious,hak5cloud_c2,dst-ioc,dst.c2,90,command-and-control
malicious,havoc,dst-ioc,dst.c2,90,command-and-control
malicious,interactsh,dst-ioc,dst.c2,90,command-and-control
malicious,khepri_c2,dst-ioc,dst.c2,90,command-and-control
malicious,ligolo_tunnel,dst-ioc,dst.c2,90,command-and-control
malicious,merlin_c2,dst-ioc,dst.c2,90,command-and-control
malicious,metasploit,dst-ioc,dst.c2,90,command-and-control
malicious,mini_c2,dst-ioc,dst.c2,90,command-and-control
malicious,mythic,dst-ioc,dst.c2,90,command-and-control
malicious,nameless_c2,dst-ioc,dst.c2,90,command-and-control
malicious,nighthawk,dst-ioc,dst.c2,90,command-and-control
malicious,nimplant,dst-ioc,dst.c2,90,command-and-control
malicious,phonyc2,dst-ioc,dst.c2,90,command-and-control
malicious,psransom_c2,dst-ioc,dst.c2,90,command-and-control
malicious,pyramid_c2,dst-ioc,dst.c2,90,command-and-control
malicious,python_byob,dst-ioc,dst.c2,90,command-and-control
malicious,redguard,dst-ioc,dst.c2,90,command-and-control
malicious,redwarden,dst-ioc,dst.c2,90,command-and-control
malicious,shellcodec2,dst-ioc,dst.c2,90,command-and-control
malicious,sliver,dst-ioc,dst.c2,90,command-and-control
malicious,spiderlabs_responder,dst-ioc,dst.c2,90,command-and-control
malicious,supershell_c2,dst-ioc,dst.c2,90,command-and-control
malicious,swat_c2,dst-ioc,dst.c2,90,command-and-control
malicious,villian_c2,dst-ioc,dst.c2,90,command-and-control
malicious,viper,dst-ioc,dst.c2,90,command-and-control
malicious,wraithnet,dst-ioc,dst.c2,90,command-and-control
malicious,xiebroc2,dst-ioc,dst.c2,90,command-and-control
malicious,zoro_c2,dst-ioc,dst.c2,90,command-and-control
malicious,zshell_c2,dst-ioc,dst.c2,90,command-and-control
malicious,404_tds,dst-ioc,dst.exploit_kit,80,initial-access
malicious,araneida,dst-ioc,dst.exploit_kit,80,initial-access
malicious,black_tds,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_angler,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_bottle,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_capesand,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_clearfake,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_fallout,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_generic,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_grandsoft,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_greenflash,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_kaixin,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_landupdate808,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_magnitude,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_neutrino,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_nuclear,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_purplefox,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_radio,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_rig,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_rogueraticate,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_router,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_scamclub,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_shade,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_spelevo,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_trillium,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_underminer,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_vextrio,dst-ioc,dst.exploit_kit,80,initial-access
malicious,ek_zphp,dst-ioc,dst.exploit_kit,80,initial-access
malicious,errtraffic_tds,dst-ioc,dst.exploit_kit,80,initial-access
malicious,generic_tds,dst-ioc,dst.exploit_kit,80,initial-access
malicious,help_tds,dst-ioc,dst.exploit_kit,80,initial-access
malicious,keitaro_tds,dst-ioc,dst.exploit_kit,80,initial-access
malicious,moneybadgers_tds,dst-ioc,dst.exploit_kit,80,initial-access
malicious,parrot_tds,dst-ioc,dst.exploit_kit,80,initial-access
malicious,prometheus_tds,dst-ioc,dst.exploit_kit,80,initial-access
malicious,savvyseahorse_tds,dst-ioc,dst.exploit_kit,80,initial-access
malicious,socgholish,dst-ioc,dst.exploit_kit,80,initial-access
malicious,sutra_tds,dst-ioc,dst.exploit_kit,80,initial-access
malicious,upx_tds,dst-ioc,dst.exploit_kit,80,initial-access
malicious,abcsoup,dst-ioc,dst.malware,80,execution
malicious,android_goldoson,dst-ioc,dst.malware,80,execution
malicious,android_hiddad,dst-ioc,dst.malware,80,execution
malicious,arl,dst-ioc,dst.malware,80,execution
malicious,bad_proxy,dst-ioc,dst.malware,80,execution
malicious,bad_script,dst-ioc,dst.malware,80,execution
malicious,bad_service,dst-ioc,dst.malware,80,execution
malicious,bitrixcore,dst-ioc,dst.malware,80,execution
malicious,brchecker,dst-ioc,dst.malware,80,execution
malicious,domain_shadowing,dst-ioc,dst.malware,80,execution
malicious,filebroser,dst-ioc,dst.malware,80,execution
malicious,magentocore,dst-ioc,dst.malware,80,execution
malicious,modxcore,dst-ioc,dst.malware,80,execution
malicious,msau_autouploader,dst-ioc,dst.malware,80,execution
malicious,openxcore,dst-ioc,dst.malware,80,execution
malicious,perfaudcore,dst-ioc,dst.malware,80,execution
malicious,pinnaclecore,dst-ioc,dst.malware,80,execution
malicious,prestacore,dst-ioc,dst.malware,80,execution
malicious,proxychanger,dst-ioc,dst.malware,80,execution
malicious,robloxcore,dst-ioc,dst.malware,80,execution
malicious,rogue_dns,dst-ioc,dst.malware,80,execution
malicious,wp_inject,dst-ioc,dst.malware,80,execution
malicious,365stealer_phishtool,dst-ioc,dst.phishing,75,initial-access
malicious,alexus_spamtool,dst-ioc,dst.phishing,75,initial-access
malicious,browser_locker,dst-ioc,dst.phishing,75,initial-access
malicious,contador_spamtool,dst-ioc,dst.phishing,75,initial-access
malicious,evilginx,dst-ioc,dst.phishing,75,initial-access
malicious,georgeginx,dst-ioc,dst.phishing,75,initial-access
malicious,gophish,dst-ioc,dst.phishing,75,initial-access
malicious,install_capital,dst-ioc,dst.phishing,75,initial-access
malicious,install_cube,dst-ioc,dst.phishing,75,initial-access
malicious,katyabot,dst-ioc,dst.phishing,75,initial-access
malicious,perswaysion,dst-ioc,dst.phishing,75,initial-access
malicious,pushbug,dst-ioc,dst.phishing,75,initial-access
malicious,scareware,dst-ioc,dst.phishing,75,initial-access
malicious,smm_spamtool,dst-ioc,dst.phishing,75,initial-access
malicious,sms_flooder,dst-ioc,dst.phishing,75,initial-access
malicious,supremebot,dst-ioc,dst.phishing,75,initial-access
malicious,telekopye_scamtool,dst-ioc,dst.phishing,75,initial-access
malicious,woof,dst-ioc,dst.phishing,75,initial-access
malicious,xsender_spamtool,dst-ioc,dst.phishing,75,initial-access
